mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit_prior,param_binarize,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.41753355662027997,0.014003238806002143,0.07337768872578938,0.0026675224339241413,True,0.5416666666666666,2.0433597178569438e-05,"{'fit_prior': True, 'binarize': np.float64(0.5416666666666666), 'alpha': np.float64(2.0433597178569438e-05)}",0.3628841121751401,0.3634321099283493,0.36311701122025397,0.36314441110791446,0.00022455652556900354,19
0.40528297424316406,0.006969512783743186,0.07418338457743327,0.002090158018208728,False,0.8333333333333333,2395.026619987491,"{'fit_prior': False, 'binarize': np.float64(0.8333333333333333), 'alpha': np.float64(2395.026619987491)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.3948365052541097,0.00014078064722940605,0.07354251543680827,0.0011527074575274276,False,0.7916666666666666,0.0030391953823131978,"{'fit_prior': False, 'binarize': np.float64(0.7916666666666666), 'alpha': np.float64(0.0030391953823131978)}",0.342114997328511,0.3432520926664201,0.3421697971038319,0.34251229569958763,0.000523593619737463,24
0.38961299260457355,0.0039107981500474415,0.06832385063171387,0.0023425611769638203,True,0.75,1172.1022975334793,"{'fit_prior': True, 'binarize': np.float64(0.75), 'alpha': np.float64(1172.1022975334793)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.3969126542409261,0.003746170193152103,0.07869569460550944,0.002499863497542133,True,0.29166666666666663,1.8873918221350996,"{'fit_prior': True, 'binarize': np.float64(0.29166666666666663), 'alpha': np.float64(1.8873918221350996)}",0.5689175674379735,0.5693833655282013,0.5717534558108311,0.5700181295923353,0.0012417084409968421,12
0.3959781328837077,0.0063927826835014755,0.07103745142618816,0.0017235251360991283,True,0.625,32.90344562312671,"{'fit_prior': True, 'binarize': np.float64(0.625), 'alpha': np.float64(32.90344562312671)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
0.49365663528442383,0.08531353553879678,0.10535828272501628,0.015210260365191507,True,0.08333333333333333,0.0014873521072935117,"{'fit_prior': True, 'binarize': np.float64(0.08333333333333333), 'alpha': np.float64(0.0014873521072935117)}",0.6958064471935665,0.6980806378693848,0.697025742194457,0.696970942419136,0.0009292427271802475,3
0.48245517412821454,0.08016132145674537,0.08815383911132812,0.01313882217041713,False,0.29166666666666663,0.0014873521072935117,"{'fit_prior': False, 'binarize': np.float64(0.29166666666666663), 'alpha': np.float64(0.0014873521072935117)}",0.5530941323140575,0.5560670201252175,0.5533544312468319,0.5541718612287022,0.0013442865061390672,13
0.5049309730529785,0.02288010052168864,0.09562826156616211,0.009762334556422824,False,0.16666666666666666,0.0007278953843983154,"{'fit_prior': False, 'binarize': np.float64(0.16666666666666666), 'alpha': np.float64(0.0007278953843983154)}",0.6869699834230679,0.6889427753346211,0.6861753866809146,0.6873627151462012,0.0011634112614583956,5
0.39980483055114746,0.00804136374905547,0.07079815864562988,0.0004787181866643708,True,0.75,0.22122162910704501,"{'fit_prior': True, 'binarize': np.float64(0.75), 'alpha': np.float64(0.22122162910704501)}",0.3430054936774759,0.34348499171153396,0.34279999452002247,0.3430968266363441,0.00028700937281602807,23
0.4676345984141032,0.04378813885853754,0.08629703521728516,0.00289522071838186,True,1.0,7.880462815669921,"{'fit_prior': True, 'binarize': np.float64(1.0), 'alpha': np.float64(7.880462815669921)}",0.3397449070458811,0.33975860698971133,0.33975860698971133,0.339754040341768,6.45821545614624e-06,29
